recipe_slug	score_bound	reward
apple-crumble	7.483315	1.0
ramen	7.270093	0.0
quesadillas	7.235617	0.5
ma-la-chicken	7.161007	1.0
pain-au-chocolat	7.011843	1.0
chocolate-babka	7.053832	1.0
spamburger	7.025546	0.0
bacon-fried-rice	6.990518	0.0
nacho-fries	6.77755	1.0
cranberry-sauce	6.744773	0.0
guacamole	6.595724	0.5
apple-pie	6.480502	1.0
strawberry-rhubarb-crisp	6.487726	1.0
asparagus-quiche	6.453679	0.5
apple-crisp	6.316472	1.0
dan-dan-noodles	6.309911	0.0
cold-noodles-with-tomatoes	6.286028	0.5
brioche-bread	6.22541	1.0
asparagus-burger	6.215882	0.5
bacon-wrapped-chicken	6.187502	0.0
taco-salad	6.097351	0.5
tamales	6.053728	0.5
mushroom-quiche	6.049234	0.5
bacon-wrapped-asparagus	5.984874	0.0
croissants	5.838904	0.5
cranberry-apple-crisp	5.80801	1.0
chicken-nuggets	5.78471	1.0
fajitas	5.723168	1.0
spam-musubi	5.679587	1.0
chocolate-peanut-butter-cake	5.682839	1.0
nacho-salad	5.606865	1.0
sujebi	5.609636	0.5
tacos	5.546923	0.5
croissant-aux-amandes	5.496486	1.0
danishes	5.481029	0.0
bacon-mac-and-cheese	5.463045	0.0
souffle	5.396137	1.0
nachos	5.384137	0.5
vanilla-souffle	5.349166	1.0
cherry-pie	5.249158	1.0
bacon-wrapped-shrimp-skewers	5.226108	0.0
spinach-and-ricotta-lasagna	5.203221	0.5
brownies	5.188347	1.0
loaded-nachos	5.16501	1.0
soba-noodle-salad-with-peanut-dressing	5.145811	0.5
enchiladas	5.132639	0.5
breakfast-burritos	5.120927	0.0
brioche-bread-with-chocolate	5.093294	1.0
peanut-butter-cupcakes	5.032099	1.0
quiche-lorraine	5.012388	0.0
peach-crisp	4.915053	1.0
ma-la-beef	4.875224	0.5
pickled-green-beans	4.870082	0.5
spinach-quiche	4.847272	0.5
falafel	4.767352	1.0
almond-chip-cookies	4.740777	1.0
chicken-fingers	4.707511	1.0
cold-sesame-noodles	4.694398	0.5
bolognese-sauce	4.691837	0.5
chicken-alfredo-lasagna	4.665273	1.0
chiles-rellenos	4.641888	0.5
tempura-udon	4.637852	0.5
almond-croissants	4.608725	1.0
burritos	4.565423	0.5
cold-soba-noodles-with-tomato-and-cucumber	4.544287	1.0
peach-cobbler	4.518456	1.0
pico-de-gallo	4.459237	0.5
bacon-egg-muffins	4.455376	0.0
berry-crisp	4.453872	1.0
fried-oysters	4.45175	0.5
spinach-and-feta-quiche	4.378388	0.5
nacho-dip	4.366684	0.5
maple-bacon-donuts	4.329602	0.0
udon	4.277817	0.5
nacho-casserole	4.225328	1.0
cranberry-relish	4.199053	0.0
bacon-wrapped-scallops	4.151947	0.0
classic-beef-lasagna	4.149097	0.5
chocolate-cake	4.121229	1.0
french-toast	4.094761	1.0
blueberry-crisp	4.078251	1.0
chocolate-croissants	4.055166	1.0
pickled-asparagus	4.048651	1.0
bacon-and-egg-breakfast-sandwich	3.992612	0.0
cherry-cobbler	3.968053	1.0
pasta-primavera	3.959761	0.5
peanut-butter-brownies	3.91656	1.0
bacon-wrapped-dates	3.787869	0.0
maple-bacon-pancakes	3.752263	0.0
bacon-chocolate-chip-cookies	3.667056	0.0
blueberry-crumble	3.63291	1.0
cinnamon-babka	3.586787	1.0
chocolate-souffle	3.524911	1.0
lasagna	3.504824	0.5
vegetarian-mushroom-lasagna	3.433358	0.5
berry-crumble	3.269604	1.0
butter-croissants	3.216421	0.5
spinach-and-ricotta-stuffed-shells	3.196837	0.5
vegetable-lasagna	2.693297	0.5
bacon-souffle	2.566623	0.0
